Techno,House,Trance,Electro,Hard Trance,Tech House,Acid House,Acid,Synth-pop,Tribal House,Electro House,Italo-Disco,Italodance
Anagram,Warner Music Sweden AB,Summer Snow Recordings,CBS,Cyber Music,Damm Records,Studio 19479,Mormusic,SMEA,Striscia Gianni,Lugano Records,France Entertainment,Edizioni Curei
Not On Label (Danny Tenaglia),Pumpin' UK Media,Soundwaves,MG Records,Base 1 Studios,Thrust Recordings,Daba Music,Polari Records,Aquarius Records,BMG France,7th Sense Records,L'Editeur Hardi,Edizioni Cresus
Mamba Rec,M.O.D.A. - Music Fashion,Ispirato,Bass Force,Sonic Solution Studios,VA Recordings,BBC Worldwide Ltd.,Oxigen Music,"Les Productions Marc Durand, Inc.",Oh Music,Vandit Records,Dyam,Softworks' Studios
R3toX Digital Recordings,Shall Not Fade White,Trance Tunes,Kling Klang Musik,Sonic Solution,Hummingbird,Big Som,Hungarian House Only,Marc Durand Production,Subversive,Mixmash Bold,Polygram Records,Acclaim Music
iG Recording,Finyl Tweek,Ocean Drive Records,Bovema / EMI Studios,High Contrast Recordings,Fabric,Zap Records,Ampsuite,"Total Music Services, Inc.",Plastica RED,Ritmo Astral,Pilz Compact Disc,Ultimate Dance Collection
Bullet:Dodge,Groove On Productions,SAUK Music,Ultra Dub Recordings,Trance Classics,Phonetic Recordings,Backs Records,Oeil stereO,"Songs Of PolyGram International, Inc.",Vega Records,Kattivo White Records,S.T.D. Records,Unipersonale
Off White Records,Groove On Music,Not On Label (The Morrighan Self-released),We Are Unique! Records,Be Yourself Catalogue B.V.,Mustard Music Publishing,Mile End Records,SRO,Creation Records,IDPL,Baxtown Records,No Comment,Universal Music GmbH
Synthesis Records,"Europadisk, Ltd.",Not On Label (Auracle (4) Self-released),Lost In Music,Complete Audio,1st Groove Manymal,Mentalux,Don't,The Spike,Absolute Sound,WildRun Records,CNR,Modusart Sa
forecast label,Plucky Records,Sky High Trance,Lost In Music Studio,Musicline.de,Sax-Tunes,Turbo Music,House Nation,Synthesizer Greatest - The Classical Masterpieces,Kamono Recordings,Flashover Recordings,Fora Music,We Next
Not On Label (Kevin Reynolds (2) Self-released),Symetric Music,Painkiller Productions,Studio Nyima,Jeity Music,Frecuencies Recordings,All Change,Fragil White,RCA Corporation,Self Distribuzione S.p.A.,Underway Productions,BMC Publishing,Italo Rumble Group
Renesanz Records,Waako Records Inc.,Flashback,Screening Room,Little H Music & Media GmbH,Backstage Records (Belgium),Urban Dance Records,Flatlife Special,Montreuil Offset,Vale Music,Big Boss Records,Evans & Fisher,Trak Music
Itzamna Recordings,Aaron Bee Music Ltd.,Mixed Live,Hurricane Entertainment,Warner Chappell Music,Insert Coin Records,X-ONE,Warp Music,Data Alpha,Newborn Records,Infinity Music,Evans & Fisher Prod.,Танцевальный Рай
Talpa Music,Space Hopper,Moonshine Creative Media LLC,Another Wave,Atom Trance Force,Devoted,Data Airlines,Servants Of Struggle,Mambo,Domino Guy Music,ShiftAxis Records,Astro Record,Астра
Communique Records,"Underground Studios, Chicago",Clanger Inc.,Kling Klang Music Inc.,Uplifto Records,Popular Records Italia,Not On Label (Lausen Self-released),www.primedirectdist.co.uk,Ink Studios,Make M Flow Productions,Not On Label (Aaron Wayne Self-released),Marron,"ООО ""Мюзик Трейд"""
KAWAYA Sounds,Quantum Distributors,Nucleus Films,V2 Records International Ltd.,PPK Management,Insert coin Records,Antenne,Takt,Warner Strategic Marketing,Karnival Music,Not On Label (VSNS Self-released),Gold,Dance Paradise UK
Mutual Rytm,Groovilicious,Вирус Music,Underground Resistance Productions,Central Energy,Astral Music,Phonocasts,Records 72,Warner Music Group Germany Holding GmbH,GoMix Industries,Star Dance Records,Edizioni Interbeat,Universal Music Denmark
Watergate Records,DreamWorks Records,Live As...,Sound Of Detroit,Quadrophon,Independance Records,Phonographe Corp,Funclub Records,Dying Art,Artemis Records,Bite This!,Edizioni RCA,Condition Zero
SubVision,Atlantic Corporation,Soundness Records,Island Music Ltd.,Trance Dance,Virgin France S.A.,Master Room Company Limited,VDSS Recording Studio,Worldwide Studios,Transport Recordings,USB DIGITAL,Edizioni Musicali Canaveral,Rive Droite Music
Citrus City Records,Buy This Its Good,Somatic Sense,New Claims Music,Flex Records,SNA,Bassment Tapes Records,Versatile Records,Modern Arnold Music Associates Ltd.,Buildup Music,BassXpress Music,Air Records,Saifam Dance
Mind Medizin Records,Fonomusic,Infused Traxx,ATV Music,Modem Records,Purple Tracks,Back Door Records,Versatile Paris,Rams Horn Productions B.V.,Blueroom Music Group,The Music Group,BMG Victor Inc.,Clean Sound
Not on Label,Double Decker,Not On Label (Dee Conaghan Self-released),Bambaataa Music,Bubble-Shah Music Publishing,Black Lacquer,Back Door Studios,Fantasy 1,Rams Horn Records B.V.,Cha Cha Boom! Recordings,Sub Religion,Suisa,Paranoja Records
Epidemic Records,PolyGram Records S.A. (Greece),Gert Records,Electrofunk Records,No Turn Records,Gossip Records,Obelix Recording,Factory,Jackaroe Music Publishers,Lectroluv,Rough Division,"Ginger Studio, Trento",Shake Records
Underground Experience,Do It Yourself S.r.l,Tripbox Records,Electrofunk,A State Of Trance,Volume Records,House Of Broken Clocks,Brown Lagoon Records,Charisma Music Publishing Co. Ltd.,Dirty Dutch Music,Encourage Records,Match-Records,KIK
TWM,BMG Ariola München GmbH,Not On Label (Monkey Boy Self-released),Electrofunk records Inc.,UCA Records,Vale Music,Ensoph,Eighties Vinyl Records,Tug Records,Монолит,Nero Recordings,PCM,Lideres
White,Logic Light,Dark City Music,Wichita,Love Parade,Digipack,Montefeltro,Contumancia,The Total Record Company,"Компания ""Монолит""",HFN Music,Carnaby Studio,Inversiones Rodven
Black Codes Experiments,Metropolitan Underground,Lube,Simian Mobile Disco,Desert Trax,Panasonic,Ahmet San Production,Death Waltz Recording Company,I Square Records,Odyssey Company,Klubasic Dance,Edizioni Sorpasso,Lideres Entertainment Group
Kimken Studio,JET SET,Not On Label (0Gravity self-released),Wichita Recordings Ltd.,GET,Visitor,Mas Plak Ve Film Yapım San. Ve Tic. Ltd. Şti.,Parlophone,WEA Manufacturing,Pax Humana Music,JAY Records,Edizioni Gattocicova,Happy Mountain Studios
Thamesmatic,Live At Robert Johnson,ROANA Recordings,Electric Mastering,Dance Street,Rotunda Records,The Third Technique,Duck Productions Ltd.,The Hit Factory,"Silvermine Studios, Norwalk, CT",Edinet,Electronix Network,Emails Music
Ouïe,Most Wanted Entertainment,Abora,Low Spirit Music,Slideout Music Productions,Munich Disco Tech,Hazardous House Records,EMI Records Ltd.,Chung King House Of Metal,Rockberry Records,Jay Studio,Nightmusic Studio,Good Life Records
Force Inc. Music Works,Pelvis Records,Eternity Trax Records,BMG Ufa,LaCargo,Styrax Leaves,Torrid Productions,Queen Music Ltd.,Pearl Sound Studios,"Kunaki, LLC",EDM Industry,Zucchero E Miele,"Lemon Studio, Livorno"
JTseries,SugarFoot Records,Avex Group Holdings Inc.,Bubble Heads Music,Terracom Records,Plastikal Mood,Low Hanging Fruit,Natalina Snc,BMG Ariola Media GmbH,The Tzar Digital,See The Sea Records,Express Studio,Not On Label (RotorMotor Self-released)
Antinote,Not On Label (LOG Self-released),Etwas Music Inc.,PRS Hannover,BERNHARD MIKULSKI Schallplatten-Vertriebs-GmbH,Last Night On Earth,Anode Records,Warner Music Mexico,Wheatley Records,Escuro Recordings,Electrostep Network,Express,Charisma Studio
Blackmage Records,Quality Music,Superior Music,Munchman Music,Proton Records UK,NOT ON LABEL,Edition Tresor,Munchies Music,Intercord Ton GmbH,Ibiza IM,Alveda Pulse,Money Moon Records,Ladyland Recording Studio
Qubiq Records,Fine-Tune Records,AlYf Recordings,430 West Records,UCMG UK,Greenhorn Records,MDLM,No Por Suerte Studio,"Curb Records, Inc.",OM Records,SUBCON,Benelux Records,D.F.R. Records
Odd Recordings,Phonetic Recordings Ltd.,Aetheria Sound System,"Metropolis Mastering, Ltd",Intergroove UK,Tribal Sun,Rough Trade Records,Pan European Recording,Pagan Records,Proton Records,Unsound,"T.G. Hostench, S.A.",Di Iorio Barbara Music S.r.l.
DkN Selections,Grass Green Records,Hi-Bias Records,Ariola Eurodisc S.A.,Armada Digital,Tronic,Nu Relics,Hugge Land,Pagan Records Ltd.,That Kid Chris Productions Inc.,Dirty Korner Recordings,"Victoria Ediciones Musicales, S.A.",Brainstorm Studio
Induxtriall Records,Sounds Good,Legacy Of Trance Recordings,"Can't Stop Productions, Inc.",Trancemania,Dispersion PR,Hippie Dance,M. Cullen,Mandrill Studios,Sounds Good Records,Skyy Blue Music,Dog Record,Propaganda Studio 2
COTEOF Digital Series,Rekid,Soundscapes,Pro TV London,90 Degrees North,Silver Pearl Records,No Dance,Hope For The Tape Deck,Livingston Studios,NoLabel Records,JHaps Records,Urania,Propaganda Studio 1
Dance Floor Studios,Artist Company Ten,Motiv8 Recordings,"Polygram, Hanover, West Germany",Water Music Dance,Surreal,Fina White,Georgian Music Legacy Collection,NBR,Gossip Records,Not On Label (Jack Izaak Self-released),WEA Musik GmbH,Welcome Records
Knowledge Imprint,Dipiù S.r.l.,Uniqode Club,Global Studios S.A. (France),Ministry Magazine Australia,Devoted Tunes,Not On Label (Pierre's Pfantasy Club),Not On Label (Flap Jack Self-released),Supertrack,Amato Disco,Nik Cooper,"Black Wing Studio, London",Bit Studio
Wolfs Minimal' Label,Lime Inc.,Awal,Tpyge Music,Regency Recordings,Malicious Damage,Hard Times Recordings,Gherkin Records,NB Music,Sub Productions,Tribune Music,Distribution CBS,Clubware Records
Struktur,Signal,XFM Media Music Publishing,Bluebird Records Ltd.,Chaos Records,Indisc,CD Plant MFG,Obsession Records,Belsize Music,Rhythm Syndicate Records Ltd.,Efectiva Records,Keepon Music,Neue Welt Musikverlag
Phenomena,Dolly,Soundz Of E,Hauppauge Record Manufacturing Ltd.,Clone 2.1 Studio Frankfurt,Cocoon Recordings,CDM,GS Mastering & Post,Tapestry Studios,Swift Records,Not On Label (Knights Of Saint Nicholas Self-released),Happy Music,Greenhorn Musikverlag
Proton LLC,Polygram,Fetuekow,Independent Pressing Co.,Amv Talpa,Acalwan,Square Roots,SM traxxx,Polton,UCNY Music Publishing,Not On Label (GunFight (2) Self-released),"Glory, Asnières",Da Music
Binary Cells,Sony Music Entertainment Germany GmbH,Record Union,Perfecto,Media Songs Ltd.,Circus Company,Daisey Age Recordings,Illegal Records,AMIGA,Blue Night Jungle,Endless Music,Editions Sound Of Paris,Dolphin Records
Suspected,Plastique Recordings,DjVincenTech,Panic Trax,Big In Ibiza Ltd,Brickhouse Tracks,Terraform Records,LuSiD Live,Amiga Quartett,Chat Noir Distribution,Sony Music Entertainment Inc.,"Polydor, S.A.",Pielle Records
VRV,Futureboogie Recordings,Twisted,Under The Flightpath L.H.R.,Dance Ecstasy 2001,Vinyl Addiction,Groove Zone,Tresor Records,VEB Deutsche Schallplatten Berlin,Kuroneko Media,Sony Music Entertainment (UK) Ltd.,Trans Music International,"Gray Studio, Desenzano del Garda"
Incroyable Music,Maxpop Music,Soluna Music,Intergroove Ltd.,Majestic Recordings Inc.,Sharp Recordings,Rotation Records,Kick Da Bass Publishing,VEB Deutsche Schallplatten Potsdam-Babelsberg,DNH Records,Sony Music Publishing,COFASA,Shift Music
Evolution Records,Goldmind,Electronic Groove Culture,Intelligence Records,Secret Life Of Trance - Future Heroes,Rebellion,Eurodisc Manufacturing,Megatrend Productions,Mushroom,Glamco Productions,Sony Music Publishing Ltd.,Magic Sound Records,Diva Records
Natura Viva Black,Dance Street Series,Not On Label (Nüw Idol Self-released),"1618, Paris",Avex Marketing Communications Inc.,Sinusoid Records,Ballyhoo Studio Mastering,Donut Records,Festival Records Pty. Ltd.,Glamco Music,Not On Label (Alberto V Self-released),EMI Italiana S.p.A. Pressing Plant,Devotion Records
Detone,Not On Label (Four Tet Self-Released),Radiation Spectrum,Unity Mastering,Memory-Tech,GZ Digital Media,"Strictly rhythm Records, Inc.",Not On Label (xaptiox Self-released),Mushroom Records Pty. Ltd.,Up Music,Not On Label (Mr. Groove (15) Self-released),Parking,Monterosso Ed. Musicali Srl
Adroit Recordings,Moulton Music,Kinected Recordings,EMI Chrysalis,Technology,Not On Label (Darude),"Blanco Y Negro Music, S.A.",Metronome,"Slam City Productions, Inc.",Scorpio Music,Not On Label (Bloomzz Self-released),Edizioni Suvini Zerboni,Nova Studio
Rafarta Records,Poesie Musik,Prime Music,Kling Klang Produkt,"Dream Studio, Milan",Pssst Music,"Offset ALG, S.A.",Container Records,Doorbell Productions Inc,Congano Records,Not On Label (Dr. Beat (10) Self-released),Gala International,ACT Studio
91 Records,EMI United Kingdom,Planet 2001 Club & Discotheque,EMI Music Publishing Ltd.,Sorted Recordings,"Sony/CBS, Haarlem",Elektra,"PMDC, Germany",Mushroom Art,Sharp Blade Records,Pinnacle Collective,DWA (Dance World Attack),EMI Music Publishing France
Studio 11,EMI Music Ltd.,Gea Records,T-Boy Music,Media Spirit,Alfa,Elektra/Asylum Records,Metronome Musik GmbH,Second Records,New World Records,Bloomers Records,Arabella Music,Rainbag Studio
Weyland-Yutani,Asylum Records,Abora Progressive,Boston International,Dance Battle,Come Again Music,Warner Communications Inc.,PV,The Classic Live Radio Broadcast Collection,Dasuppa S.n.c.,Up And Down Music,Titan,MAKRO Records
AcidVictim Records,Defected Records Ltd.,Elpida Music,Device,Future Trance,EMI,Ahead Of Our Time Productions,Container Music,Hammersmith Odeon,Not On Label (Junior Jack),Not On Label (Brano (2) Self-released),TITAN Schallplatten,Mambo
Belief System,What A Music Ltd.,Rayman Records,The Mill,PolyGram GmbH,Gummer Records,Blapps! Records,Polygram Songs Musikverlag GmbH,BBC Radio 1,The Hit Label,Brydges,Kiki,Miau
Phäntom Records,Magika,Not On Label (Cooltown Self-released),Baked Goods,Sat.1 New Business Development (NBD),Selectronic,Plus 8 Records Ltd.,O.O.B.E. Music,Circa,EMI Records,Not On Label (Alexander Brydges Self-released),Robbyland Music,Lime Inc.
Not On Label (Quint (3) Self-released),Euro Dance,DeepSink Digital,Greene St. Recording,Planet Love Records,Stomp,Mute Song,aymen hasan dawood,Circa Records Ltd.,TIME S.r.l.,ClaireSO Productions,Frankl Music,LED Music
STRIKT,Magika S.r.l.,Future Sound Of Trance,Radio City Music Hall,Edition Noiseless,Vertigo Berlin,Unknown Chicago,Ditto Press,AVL,Active Music,Space Beat,dwsrecords,Top Secret Records
Tele Music,Kinky Vinyl,Mainstream Sheep Records,RPM Studios,D.O.N.S. Publishing,Lana Del Rey,Circle City Records,Power Music Records,Rockin' Horse Records,Winter Party,Ehtraxx,Italoheat Music Production,Audio & Frames Studio
Complex Textures,Boomkat,Element Digital Records,General Music,Edition Wippenberg,Vertigo/Capitol,S.B.K. Publishing Ltd,"Power Music Distribution, Inc.",BMG Arista Records Ltd.,DOCdata,Dance Of Toads,Warner Bros. Music GmbH,IDM (Italian Dance Machine)
Twisted Frequency Recordings,14 Tracks,Neverland Sounds,E-State,Dynamix,Manual Music,P909 Music,Master Cutting Room,Block & Gilbert Music Ltd.,Arcade Music Company Norway,Kontora,HNS Studio,Tron-X Records
Corrupted Recordings,Not On Label (Bob Sinclar),Yeiskomp Leisurely,Zafiro,First Records,EMI Electrola,K Klassik,Bankrobber,Spitfire Productions,Bel Produksjon A/S,"ООО ""Контора""",Emmegi Records,21st Century Records EP
Lost Demo,Sole Unlimited,SMIND Music,Serdisco,Involved Productions,Blue Black Test,Baltic Records,Hugo Boss,Mariann Distribution,Omnisounds,Dance Paradise UK,Music Market,Audiodrome
Skyline Type Grooves,Bleep,Future Forward Music,"Nippon Columbia Co., Ltd.",Warner/Chappell Music Holland,Fifth Sun Recordings,Roots For Bloom,Pschent,Mistlur Studios,Italian Communication,"ООО ""Си Ди Лэнд Медиа""",Pokorny Music Solutions,Motivo Productions s.r.l.
Sounds Diabolic Records,Ultralab,Progressive Vibes Music,Slowbow,Hard On Recordings,Wax Habit,Kozmik Funkshun Records,AMK (Amakonda Amus),Calyx Mastering,NMC,"ООО ""РМГ Компани""",Eighties Extreme,Zeus Productions
Konstructure,Tripfamily,Not On Label (Rob Binner Self-released),Electron Industries,Majestic 12,Rox Records,Gallery Recordings,"Universal Music México, S.A. de C.V.",The World Of British Power,Sushi Music Spain,"ООО ""Си Ди Клуб""",Il Bigallo,Strictly Dance Recordings
Troia Recordings,R & S Records,Talla3 Production,Universal Music Group International,Contagious Records,Bisquit Studio,CNR Records B.V.,Totally Wired,Pic Label,"Divucsa Music, S.A.",2Dutch Records,Edizioni Videoradio,Rondor Music (London) Ltd.
Problem Child Rekords,Soulgood Records,Juiced Digital Recordings,Polygram Industries Messageries,Edition Toxic Records,Echoe,SBK Records,Immersion Studio NFA,"Victor Musical Industries, Inc.",Trigger Recording,2-Dutch BV,"Studio MR, Stella",Multimusic
Tranzmitter Netlabel,Universal Music Group,Umusic Records,Polydor Paris,Bonzai Classics Best Of EP,FLEX Club,Embryonic Records,Masterpiece,GMPC,Pump Records,2D Music Publishing,ASIA s.r.l.,Sonopress Mexico
iFactor Records,Rouge Pulp,Transorica Records,RFC Records,Enterprise Records,Not On Label (50 Cent),Daisyworld Discs,AGR Manufacturing,Ariston Music,Not On Label (Technotronic),Versus Music Label,Araba Fenice Edizioni Musicali,Square House Studio
Pantano Beat Records,Hypnotic Music,Scorchin' Progressive,Innocent Records,Globe,Barclay,Chi-Mix Records,Kurbel,Dischi Ricordi S.p.A.,Slave Recordings,Gemstone Records,Occidental Records,Crea Hits S.R.L. Ed. Mus.
Hardplace Records,Brickhouse Records,Audio Diez,Eastern Artists Recording Studio,CGI Records,Metronome Music GmbH,Mud Music Pub.,Kurbel Records,Ariston Studios,Mundovivo,Quartzo Records,Alpha Records,Gitana Edizioni Musicali s.a.s.
Mixtape Records,DJ Set,Республика Z,Kathy's Music,Digi Pres,Pinnacle,Translantic,Rather Interesting,Edizioni Suvini Zerboni S.p.A.,Moda,Insomniac Records,Disco Magic s.r.l.,Warner Music Singapore
Repetitive Rhythm Research,Freshline Records,Z - Games,Universal Music Special Markets,Music Valid AG,RTM,Midtown,Del Haze Entertainment,Graphyche Magica 2000,Black Vinyl Records,Aesthete,Euro Disc,Best Italo Dance Hits
Somov Records,Warner Music Sweden,Никита Маршунок,Compass Productions,Uptide Records,Distinct'ive Records,Arkantide Studios,CD Plant AB,Edition Boogietunes,Epsa,Noize Bangers,K-Sound Studios,B.M. Studio
Fabric Records,Club Cuts,Groove Records,Universal Music Enterprises,Klangwerk,Textures,Brampton Music,"Globus Club, Berlin",Nordton,Sunshine Records,Wolfrage Recordings,Cue-Tips Studio,Bliss Recordings Studio B
Artcore,Zero Meno,Addictive Sounds,"Sony DADC, Terre Haute",DJ Traxx (Series),Musicnow Records,DPH,"Apolo Club, Barcelona",RTB Audio Visual Productions,Sum Records,Beatlock Records,Eskimo Recordings,Inn Studio
Seventh Sign Recordings,СтереоЗвук,Routenote,"Sony DADC, Pitman",kdg,Newstylesound,Elephant,Panzerkreuz Records,Unichappell Music,Pure Music Productions,Magic Records,Linear Studios,Suministres Grafics
Bud Burroughs,Dance Network,Vallie Sounds,Elec-Trip Records,Rough Diamond Light Blue,Wrong,Spitfire Music,Scythe Squadron,Nymph Music,1969 Recordings,Repost Network,Televis Edizioni Musicali Srl,Digital Team Studio
Syncrophone,Clubbin' Records,Lifted Audio,Odeon,Intrenze,Milk Plus Records,Trunkfunk Records,Toolbox Music,Devo Music,Hed Kandi,Magic Trooper,Productions Carrere,www.mpo.es
Mixtapes DJ Rizzo,Radiant Records,Aurbennig,Rh Pozitif Publishing,Kosmo Records,Suara,"Secret 7""",Label Zonder Naam,Bedroom Productions,Dirty Disco Music,Cyberloud Records,Precision Records & Tapes Limited,Selector
GB Prod / Mega-Prod,Groove Master,D:SIDE,EMI-Odeon S.A.I.C.,Nettwerk America,Raveline,Red Label Records,NovaMute,Enigma,Meow Studios,High Fashion Music,PRT,EPark
Alzaya Records,Do It Yourself,Trance Temple Records,Golden Cloud Ltd.,"12"" Collectors Vinyl Box",dig dis! Series,Sweatbox,Warner-Tamerlane Publishing,"Nimbus, Virginia",Mixtime Productions,Dureco Benelux,Gogly Music,Epark Music Production GmbH
Union Three,Release Music,Black State Recordings,Cytown Records,ART,Raveline Mix Sessions,The Producers,Mute Records Ltd.,"Budde Music, Inc.",Georgie Music,V-Essentials,Fonomusic,Little H Music & Media
Planet Vision,Spectra Records,Immunda Recordings,Electrobeat Records,Bonzai Back Catalog,Etiquette,Classic Trax Publishing,Zodiac Wax,Future Disc,Semi-Precious Records,"Jobete Music, Inc.",Phonag Records,Ariola Eurodisc GmbH
Magic Studio,Solution Fab',Not On Label (Alex Trackone Self-released),Low Spirit Studios,Universal Music A/S,The Exchange,Casablanca Trax Publishing Inc.,A3C0I3D Tracks (USA),Axis Studios,HMSPmusic,FFW,Lupus,Universo Film
After Us,Positiv@,Dubfoundation Records,Mangedisque Distribution,No Name Records Club Trance,Plex Records,E.M.I. M & D Services Ltd.,Green Studios,EMI U Catalog Inc.,Edel America Records,Front Artillery Records,Polydor K.K.,Bitamanda Studio
Punx,Nocturne,In Trance Music,Polygram Inc.,Sodom Music,Legpressmusic,PRT Studios,V.A.I.,Tintoretto Music,Tomorrowland Music,Dub Plate Records,Edi Record,"Indugraf Madrid, S.A."
Схема,DOCdata,Direct Drive Recordings,Polygram Distribution Inc.,DMS Tonträger-Vertriebs-GmbH,MUSIC FOR DREAMS,Love Supreme,Afu Limited,Screen Gems-EMI Music Inc.,Dekmantel,Spyduge Record,Hobby,"Joe's Garage, London"
C&R,Crash Bang! Records,Solar Quantum,Bird Ice Records,Überdruck Records,Cuttin' Headz,Saved Records,Thee Blak Label,Fleur Music Ltd.,Dekmantel Podcast,Scream Monsters Recordings,Universal Music Italia,Julio Music
Cuss Fetish,Unknown (PP),Tonkutsche Records,White Elephant,Bostich,Snatch Music Publishing Limited,24 Music,Les Editions Confidentielles,Osibisa Music,Danilkin Records,TLM Distribution,NAR,MKS Labs System
ITR Music,Mescal,Not On Label (B.S.L. (2) Self-Released),Clone Classic Cuts,Melodie Metropolitane,Snatch Records Limited,AndPress,Arrakis,Opal Ltd.,Music Plant Group,Coldwave Records,Vaga,Hit Sound Productions
ULM Electro,Fly Eye,Lab Room Unlimited,Dataphysix Laboratories,Media Records Nordic,Lo-Fi Stereo,"PolyGram Records, Inc.",Dune (Epsylonn Otoktone),Dying Art Ltd.,Samará Records,WoNKed Records,"Transmédia, LDA.",Stick Records
Resource Records,1st Groove,Sergiy Akinshin,Starling,Bulletproof Records,Neuton,Willesden Music Inc.,Neoacid,Red Phantom,LK2 Music,Lung Filler Records,Lion Records Poland,"DB Studio, Trieste"
Music From Exo Planet,SPV Recordings,Multiza Distribution,Remote Audio,Old Progressive Time,Virgin,Pin Up,Cluster Records,"Palatrussardi, Milano",Hypno Music Recordings,Headbox Records,Italo Disco Collection,B5 Music Studio
Records Press Manufacture,Coastland Records,Electro Beat Records,Mag Magic,OSV,Yellow Productions,East Records,Noisegate Studios,Ahoy Rotterdam,Bellarine Recordings,Hood Famous,Grand Records,Hair Studio
ReWasted,Coastland Company GmbH,Chiltern Home Studio,Transhumanism,Foresight Records,Universal Music GmbH,Reel To Reel Studio,Bionic Orange,Edition Verlach Es,Mountain 45s,Badtuna,Discomania,SYN-Padova
Waaz Music,Twisted Music,Lashdigit Records,Gentle Threat,Hard Trance Bible,Virgin Records,Mango Sound Ltd.,Pinkman,Edition Autarc,Dancefloor Records,Reservoir Media,РАО,Happy Groove
Onelove,Groove Council Publishing,Mindswerve,Beat Records,Vantablack Records,Alphaphone Recordings,Eaton Music Ltd.,Happy Skull,Cloudberry Songs,Dancefloor Distribution,Warner Music Denmark A/S,"ООО ""Гранд Рекордс""",Estasy
S.D.K.Special,Trigger Records,7th Cloud,Areosol,Eye-Trance,Geek Records,PWL,Low Price Music Ltd.,T&CP Associates,Disc-Tinct Music Inc.,B.A.M. (Become A Millionaire),"ООО ""Арк-Систем""",Bapsy Recordings SNC
30D Close Encounters,Juan's World Studios,Interflow Progressive,Scherzo Production,"Exit Tunes Co.,Ltd.",Mental Madness,Eaton Music Inc.,Trans'Pact Productions,Air Chrysalis Scandinavia,Fanja Publishing,Digital Empire Records,Focus Records,"Wild Studio, Rome"
Dreizehn Schallplatten,Nick Millhiser's Studio,Interflow Records,Scherzo Concerts Et Production,Exit Trance Presents Aerodynamic,Bush Music,Musicata,Hearse,Miloco Studios,Paul Simpson Music,Universal Music A/S,Face Records,Italian Strikers
Casseopaya Recordings,DFA LLC,Electronic Elements,[PIAS] France,Mega Records,BMG France,Chicago Housing Commission,SRD,Black Melody,Cinnamon Flava,System Odio,Teldec,Ruggeri Studio
Antiterra,Half Machine Music,Multiza Digital Distribution,Virgin Records,Танцевальная планета,Mogul Media Entertainment,News Distribution,Truelove Label Collective,Murlyn Songs AB,JT Company,Digital Empire VIP,"Francis, Day & Hunter",Peter Pan Studio
Alpha Sides,Conya,Lakeshore Studio Records EDM,Virgin Records Ltd.,Not On Label (DJ Space Raven Self-released),Sofa King Records,Founders Of Filth,DOCdata,Atlantis Studio,"2 ""Dope"" Productions, Inc.",C47 Digital,Känguruh Musikverlag,Bliss Recordings Studio A
Not On Label (Max Watts Self-released),Q-Vertrieb,Lakeshore Studio Records,Charisma Records Ltd.,Bleach Recordings,Daredo Music,Not On Label (Aphex Twin),UTI Records,OAL Studio,Renegade One Music,Orphan Music,Rüssl Musikverlag GmbH,Shadow Productions
Systematic,Suiteque,Auditory Recordings,Soldier Blue Music,Magnetic Zone Records,Synergy Recordings,Brian Carter Music,Urban,"EMI Studios, Stockholm",Kik Da Bass Inc.,Electronic Future,Edizioni Fremus,Profile Studio
PLS.UK,Suite Cathedral,Pro State Digital Recordings,Charisma Music,Universal Music (Denmark),Rebel Vision,Phonogram Ltd.,Polydor,CD Plant MFG,"M.C. Studio, Clifton, NJ",Simplify Recordings,Edizioni Mocchi,Dab Studio
AEROBIK,Foliage,Hahmo Recordings,Chappell,Cyba Records,SuperBra,Champion Records Ltd.,Polydor Ltd.,Discordia The Distributor,Laughing Dog Studios,Rimoshee Recordings,Villa Nostradamus,Spiral Record
Ground,Disco Biscuits,Beatrising,Mohndruck Graphische Betriebe GmbH,Edel Records Austria,Pure Magic Recordings,VPI Mastering,Polydor Ltd. (UK),Kinderzimmer-Studio Ditzingen,Angelray Inc.,Wolf Beats,Music-A,12INC
SuperBoom,Superstar Entertainment GmbH & Co. KG,Animal Sound Records,Jus Born Records,Sturzflug Records,Dosmundos,VPI,Manx Rippers,Closing The Circle,Jen Trac II Music,Alveda Liquid,Charles Talar Records,Tram Tram
Philia Records,Silverdick Records,Crafted Music Publishing Ltd,National Distribution Network Inc.,Not On Label (DJ Poseidon),Outdraw Music,Aardvark Record Mastering,Jedi Distribution,Private Records,Hot Cubarican Music,PRR! PRR!,EMI Greece S.A.,EastWest Records GmbH
LostCentral,Butterfly Studios,Reburn Records,Phonogram Pty Limited,Moonrising Records,Toca 45 Recordings,Advanced,"Pure Noise Studios, London",Notting Hill Music,Dash Riprock Music,Boomerang,Nimbus,Gz2538
MixNauten - Global Music Distribution,E.G. Music,LoveDJ-R,"Columbia / EMI Records, Homebush",BXR Gold - EP Series,G-Mafia Records,Eye Q Entertainment (Holdings) Ltd.,Avinit Records,BMG Music,Virgin Records (India) Pvt. Ltd.,Seriously Records,Da Records,J.B. Sound Studio
Set About,Saraswati Music,Sound of City,M3 Mastering,Vale Music (India) PVT. LTD.,Mustache Crew Records,Eye Q Music Ltd.,Shtum,Tonstudio Hanns Schmidt-Theissen,Socsub,Sosumi Records,Mantra Records,P.M.Arts Studio
